Date, Open, High, Low, Close, Return
13/01/2022 00:00:00,4637.99,4665.13,4614.75,4662.85,-24.86
17/01/2022 00:00:00,4632.24,4632.24,4568.7,4577.11,55.13
18/01/2022 00:00:00,4588.03,4611.55,4530.2,4532.76,55.27
19/01/2022 00:00:00,4547.35,4602.11,4477.95,4482.73,64.62
20/01/2022 00:00:00,4471.38,4494.52,4395.34,4397.94,73.44
23/01/2022 00:00:00,4356.32,4417.35,4222.62,4410.13,-53.81
24/01/2022 00:00:00,4366.64,4411.01,4287.11,4356.45,10.19
25/01/2022 00:00:00,4408.43,4453.23,4304.8,4349.93,58.5
26/01/2022 00:00:00,4380.58,4428.74,4309.5,4326.51,54.07
27/01/2022 00:00:00,4336.19,4432.72,4292.46,4431.85,-95.66
30/01/2022 00:00:00,4431.79,4516.89,4414.02,4515.55,-83.76
31/01/2022 00:00:00,4519.57,4550.49,4483.53,4546.54,-26.97
01/02/2022 00:00:00,4566.39,4595.31,4544.32,4589.38,-22.99
02/02/2022 00:00:00,4535.41,4542.88,4470.39,4477.44,57.97
03/02/2022 00:00:00,4482.79,4539.66,4451.5,4500.53,-17.74
06/02/2022 00:00:00,4505.75,4521.86,4471.47,4483.87,21.88
07/02/2022 00:00:00,4480.02,4531.32,4465.4,4521.54,-41.52
08/02/2022 00:00:00,4547,4590.03,4547,4587.18,-40.18
09/02/2022 00:00:00,4553.24,4588.92,4484.31,4504.08,49.16
10/02/2022 00:00:00,4506.27,4526.33,4401.41,4418.64,87.63
13/02/2022 00:00:00,4412.61,4426.22,4364.84,4401.67,10.94
14/02/2022 00:00:00,4429.28,4472.77,4429.28,4471.07,-41.79
15/02/2022 00:00:00,4455.75,4489.55,4429.68,4475.01,-19.26
16/02/2022 00:00:00,4456.06,4456.06,4373.81,4380.26,75.8
17/02/2022 00:00:00,4384.57,4394.6,4327.22,4348.87,35.7
21/02/2022 00:00:00,4332.74,4362.12,4267.11,4304.76,27.98
22/02/2022 00:00:00,4324.93,4341.51,4221.51,4225.5,99.43
23/02/2022 00:00:00,4155.77,4294.73,4114.65,4288.7,-132.93
24/02/2022 00:00:00,4298.38,4385.34,4286.83,4384.65,-86.27
27/02/2022 00:00:00,4354.17,4388.84,4315.12,4373.94,-19.77
28/02/2022 00:00:00,4363.14,4378.45,4279.54,4306.26,56.88
01/03/2022 00:00:00,4322.56,4401.48,4322.56,4386.54,-63.98
02/03/2022 00:00:00,4401.31,4416.78,4345.56,4363.49,37.82
03/03/2022 00:00:00,4342.12,4342.12,4284.98,4328.87,13.25
06/03/2022 00:00:00,4327.01,4327.01,4199.85,4201.09,125.92
07/03/2022 00:00:00,4202.66,4276.94,4157.87,4170.7,31.96
08/03/2022 00:00:00,4223.1,4299.4,4223.1,4277.88,-54.78
09/03/2022 00:00:00,4252.55,4268.28,4209.8,4259.52,-6.97
10/03/2022 00:00:00,4279.5,4291.01,4200.49,4204.31,75.19
13/03/2022 00:00:00,4202.75,4247.57,4161.72,4173.11,29.64
14/03/2022 00:00:00,4188.82,4271.05,4187.9,4262.45,-73.63
15/03/2022 00:00:00,4288.14,4358.9,4251.99,4357.86,-69.72
16/03/2022 00:00:00,4345.11,4412.67,4335.65,4411.67,-66.56
17/03/2022 00:00:00,4407.34,4465.4,4390.57,4463.12,-55.78
20/03/2022 00:00:00,4462.4,4481.75,4424.3,4461.18,1.22
21/03/2022 00:00:00,4469.1,4522,4469.1,4511.61,-42.51
22/03/2022 00:00:00,4493.1,4501.07,4455.81,4456.24,36.86
23/03/2022 00:00:00,4469.98,4520.58,4465.17,4520.16,-50.18
24/03/2022 00:00:00,4522.91,4546.03,4501.07,4543.06,-20.15
27/03/2022 00:00:00,4541.09,4575.65,4517.69,4575.52,-34.43
28/03/2022 00:00:00,4602.86,4637.3,4589.66,4631.6,-28.74
29/03/2022 00:00:00,4624.2,4627.77,4581.32,4602.45,21.75
30/03/2022 00:00:00,4599.02,4603.07,4530.41,4530.41,68.61
31/03/2022 00:00:00,4540.32,4548.7,4507.57,4545.86,-5.54
03/04/2022 00:00:00,4547.97,4583.5,4539.21,4582.64,-34.67
04/04/2022 00:00:00,4572.45,4593.45,4514.17,4525.12,47.33
05/04/2022 00:00:00,4494.17,4503.94,4450.04,4481.15,13.02
06/04/2022 00:00:00,4474.65,4521.16,4450.3,4500.21,-25.56
07/04/2022 00:00:00,4494.15,4520.41,4474.6,4488.28,5.87
10/04/2022 00:00:00,4462.64,4464.35,4408.38,4412.53,50.11
11/04/2022 00:00:00,4437.59,4471,4381.34,4397.45,40.14
12/04/2022 00:00:00,4394.3,4453.92,4392.7,4446.59,-52.29
13/04/2022 00:00:00,4449.12,4460.46,4390.77,4392.59,56.53
17/04/2022 00:00:00,4385.63,4410.31,4370.3,4391.69,-6.06
18/04/2022 00:00:00,4390.63,4471.03,4390.63,4462.21,-71.58
19/04/2022 00:00:00,4472.26,4488.29,4448.76,4459.45,12.81
20/04/2022 00:00:00,4489.17,4512.94,4384.47,4393.66,95.51
21/04/2022 00:00:00,4385.83,4385.83,4267.62,4271.78,114.05
24/04/2022 00:00:00,4255.34,4299.02,4200.82,4296.12,-40.78
25/04/2022 00:00:00,4278.14,4278.14,4175.04,4175.2,102.94
26/04/2022 00:00:00,4186.52,4240.71,4162.9,4183.96,2.56
27/04/2022 00:00:00,4222.58,4308.45,4188.63,4287.5,-64.92
28/04/2022 00:00:00,4253.75,4269.68,4124.28,4131.93,121.82
01/05/2022 00:00:00,4130.61,4169.81,4062.51,4155.38,-24.77
02/05/2022 00:00:00,4159.78,4200.1,4147.08,4175.48,-15.7
03/05/2022 00:00:00,4181.18,4307.66,4148.91,4300.17,-118.99
04/05/2022 00:00:00,4270.43,4270.43,4106.01,4146.87,123.56
05/05/2022 00:00:00,4128.17,4157.69,4067.91,4123.34,4.83
08/05/2022 00:00:00,4081.27,4081.27,3975.48,3991.24,90.03
09/05/2022 00:00:00,4035.18,4068.82,3958.17,4001.05,34.13
10/05/2022 00:00:00,3990.08,4049.09,3928.82,3935.18,54.9
11/05/2022 00:00:00,3903.95,3964.8,3858.87,3930.08,-26.13
12/05/2022 00:00:00,3963.9,4038.88,3963.9,4023.89,-59.99
15/05/2022 00:00:00,4013.02,4046.46,3983.99,4008.01,5.01
16/05/2022 00:00:00,4052,4090.72,4033.93,4088.85,-36.85
17/05/2022 00:00:00,4051.98,4051.98,3911.91,3923.68,128.3
18/05/2022 00:00:00,3899,3945.96,3876.58,3900.79,-1.79
19/05/2022 00:00:00,3927.76,3943.42,3810.32,3901.36,26.4
22/05/2022 00:00:00,3919.42,3981.88,3909.04,3973.75,-54.33
23/05/2022 00:00:00,3942.94,3955.68,3875.13,3941.48,1.46
24/05/2022 00:00:00,3929.59,3999.33,3925.03,3978.73,-49.14
25/05/2022 00:00:00,3984.6,4075.14,3984.6,4057.84,-73.24
26/05/2022 00:00:00,4077.43,4158.49,4077.43,4158.24,-80.81
30/05/2022 00:00:00,4151.09,4168.34,4104.88,4132.15,18.94
31/05/2022 00:00:00,4149.78,4166.54,4073.85,4101.23,48.55
01/06/2022 00:00:00,4095.41,4177.51,4074.37,4176.82,-81.41
02/06/2022 00:00:00,4137.57,4142.67,4098.67,4108.54,29.03
05/06/2022 00:00:00,4134.72,4168.78,4109.18,4121.43,13.29
06/06/2022 00:00:00,4096.47,4164.86,4080.19,4160.68,-64.21
07/06/2022 00:00:00,4147.12,4160.14,4107.2,4115.77,31.35
08/06/2022 00:00:00,4101.65,4119.1,4017.17,4017.82,83.83
09/06/2022 00:00:00,3974.39,3974.39,3900.16,3900.86,73.53
12/06/2022 00:00:00,3838.15,3838.15,3734.3,3749.63,88.52
13/06/2022 00:00:00,3763.52,3778.18,3705.68,3735.48,28.04
14/06/2022 00:00:00,3764.05,3837.56,3722.3,3789.99,-25.94
15/06/2022 00:00:00,3728.18,3728.18,3639.77,3666.77,61.41
16/06/2022 00:00:00,3665.9,3707.71,3636.87,3674.84,-8.94
20/06/2022 00:00:00,3715.31,3779.65,3715.31,3764.79,-49.48
21/06/2022 00:00:00,3733.89,3801.79,3717.69,3759.89,-26
22/06/2022 00:00:00,3774.71,3802.58,3743.52,3795.73,-21.02
23/06/2022 00:00:00,3821.75,3913.65,3821.75,3911.74,-89.99
26/06/2022 00:00:00,3920.76,3927.72,3889.66,3900.11,20.65
27/06/2022 00:00:00,3913,3945.86,3820.14,3821.55,91.45
28/06/2022 00:00:00,3825.09,3836.5,3799.02,3818.83,6.26
29/06/2022 00:00:00,3785.99,3818.99,3738.67,3785.38,0.61
30/06/2022 00:00:00,3781,3829.82,3752.1,3825.33,-44.33
04/07/2022 00:00:00,3792.61,3832.19,3742.06,3831.39,-38.78
05/07/2022 00:00:00,3831.98,3870.91,3809.37,3845.08,-13.1
06/07/2022 00:00:00,3858.85,3910.63,3858.85,3902.62,-43.77
07/07/2022 00:00:00,3888.26,3918.5,3869.34,3899.38,-11.12
10/07/2022 00:00:00,3880.94,3880.94,3847.22,3854.43,26.51
11/07/2022 00:00:00,3851.95,3873.41,3802.36,3818.8,33.15
12/07/2022 00:00:00,3779.67,3829.44,3759.07,3801.78,-22.11
13/07/2022 00:00:00,3763.99,3796.41,3721.56,3790.38,-26.39
14/07/2022 00:00:00,3818,3863.62,3817.18,3863.16,-45.16
17/07/2022 00:00:00,3883.79,3902.44,3818.63,3830.85,52.94
18/07/2022 00:00:00,3860.73,3939.81,3860.73,3936.69,-75.96
19/07/2022 00:00:00,3935.32,3974.13,3922.03,3959.9,-24.58
20/07/2022 00:00:00,3955.47,3999.29,3927.64,3998.95,-43.48
21/07/2022 00:00:00,3998.43,4012.44,3938.86,3961.63,36.8
24/07/2022 00:00:00,3965.72,3975.3,3943.46,3966.84,-1.12
25/07/2022 00:00:00,3953.22,3953.22,3910.74,3921.05,32.17
